geneID	gff_annotation	gff_annotation2
113029477	LOC113029477	sericin 1-like%2C transcript variant X2
113006380	LOC113006380	sericin 1-like%2C transcript variant X2
113006388	slc43a3	solute carrier family 43 member 3
113006396	LOC113006396	reticulon-4 receptor-like 2
113006406	LOC113006406	selenoprotein H-like%2C transcript variant X2
113006413	LOC113006413	selenoprotein H-like
113006427	clp1	cleavage and polyadenylation factor I subunit 1%2C transcript variant X2
113006446	zdhhc5	zinc finger DHHC-type containing 5
113006454	tmx2	thioredoxin related transmembrane protein 2
113006475	LOC113006475	polyamine-modulated factor 1-like
113006462	med19	mediator complex subunit 19%2C transcript variant X1
113006482	slc43a1	solute carrier family 43 member 1
113006488	clcf1	cardiotrophin like cytokine factor 1%2C transcript variant X1
113006501	ssrp1	structure specific recognition protein 1%2C transcript variant X1
113029489	LOC113029489	P2X purinoceptor 3-like%2C transcript variant X1
113006513	LOC113006513	uncharacterized LOC113006513%2C transcript variant X3
113006534	rad9a	RAD9 checkpoint clamp component A%2C transcript variant X1
113028378	LOC113028378	uncharacterized LOC113028378
113006546	LOC113006546	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8%2C mitochondrial-like%2C transcript variant X1
113006560	ran	RAN%2C member RAS oncogene family
113006585	LOC113006585	syntaxin-3-like%2C transcript variant X3
113006564	kdm2a	lysine demethylase 2A%2C transcript variant X2
113006576	ankrd13d	ankyrin repeat domain 13D
113029504	LOC113029504	signal-transducing adaptor protein 1-like
113009734	trnaf-gaa	tRNA-Phe
113009736	trnaf-gaa	tRNA-Phe
113009739	trnaf-gaa	tRNA-Phe
113028379	LOC113028379	paired box protein Pax-5-like
113006609	LOC113006609	zinc finger CCHC domain-containing protein 7-like%2C transcript variant X4
113006630	LOC113006630	E3 ubiquitin-protein ligase RNF38-like
113006639	LOC113006639	neuronal acetylcholine receptor subunit beta-2-like
113006646	LOC113006646	neuronal acetylcholine receptor subunit alpha-3-like
113006662	LOC113006662	neuronal acetylcholine receptor subunit non-alpha-2-like
113006668	c2h3orf85	chromosome 2 C3orf85 homolog
113006654	LOC113006654	neuronal acetylcholine receptor subunit alpha-7-like
113006681	LOC113006681	uncharacterized LOC113006681
113006689	polr2g	RNA polymerase II subunit G
113006674	eef1g	eukaryotic translation elongation factor 1 gamma
113006696	ahnak	AHNAK nucleoprotein%2C transcript variant X7
113006728	LOC113006728	kelch-like protein 4%2C transcript variant X1
113006747	LOC113006747	protocadherin-11 X-linked-like%2C transcript variant X1
113006765	LOC113006765	TSC22 domain family protein 3-like%2C transcript variant X1
113029515	LOC113029515	uncharacterized LOC113029515
113006780	LOC113006780	probable E3 ubiquitin-protein ligase MID2%2C transcript variant X3
113006809	LOC113006809	phosphoethanolamine N-methyltransferase 3-like%2C transcript variant X2
113006823	LOC113006823	MORC family CW-type zinc finger protein 3-like
113006832	LOC113006832	coagulation factor VIII-like%2C transcript variant X2
113006839	LOC113006839	monocarboxylate transporter 8-like
113029524	LOC113029524	LRRN4 C-terminal-like protein
113029529	LOC113029529	thiosulfate:glutathione sulfurtransferase-like
113029537	LOC113029537	LRRN4 C-terminal-like protein
113029548	LOC113029548	thiosulfate:glutathione sulfurtransferase-like%2C transcript variant X2
113029556	LOC113029556	type 2 DNA topoisomerase 6 subunit B-like%2C transcript variant X1
113006863	pola2	DNA polymerase alpha 2%2C accessory subunit
113006845	LOC113006845	DNA ligase 1-like%2C transcript variant X5
113006889	zdhhc24	zinc finger DHHC-type containing 24%2C transcript variant X2
113006873	LOC113006873	myosin heavy chain%2C skeletal muscle%2C adult-like%2C transcript variant X1
113006902	LOC113006902	sodium/potassium/calcium exchanger 3-like%2C transcript variant X1
113006944	LOC113006944	zinc finger protein ubi-d4-like%2C transcript variant X4
113006914	LOC113006914	high-affinity choline transporter 1-like%2C transcript variant X2
113006967	LOC113006967	high-affinity choline transporter 1-like%2C transcript variant X1
113006988	LOC113006988	tetratricopeptide repeat protein 9C-like%2C transcript variant X2
113006981	LOC113006981	uncharacterized LOC113006981
113007004	LOC113007004	microtubule-associated proteins 1A/1B light chain 3C-like
113006999	LOC113006999	EH domain-containing protein 1-like
113007009	ubxn1	UBX domain protein 1%2C transcript variant X2
113007029	LOC113007029	pre-mRNA-processing factor 39-like%2C transcript variant X2
113007041	ganab	glucosidase II alpha subunit%2C transcript variant X1
113028386	LOC113028386	integrator complex subunit 5-like
113007059	LOC113007059	ankyrin-2-like
113007063	LOC113007063	eukaryotic translation initiation factor 4E-binding protein 1-like
113007071	LOC113007071	nodal homolog
113007082	LOC113007082	deoxycytidine kinase-like%2C transcript variant X1
113007086	LOC113007086	uncharacterized LOC113007086
113007087	LOC113007087	integrator complex subunit 5-like
113007095	LOC113007095	HRAS-like suppressor 3%2C transcript variant X1
113007114	LOC113007114	HRAS-like suppressor 3%2C transcript variant X3
113007131	scyl1	SCY1 like pseudokinase 1
113007141	LOC113007141	uncharacterized LOC113007141
113007147	LOC113007147	peripherin-2-like
113007150	LOC113007150	girdin-like
113007193	macrod1	MACRO domain containing 1%2C transcript variant X3
113007177	LOC113007177	leucine-rich repeat transmembrane protein FLRT1-like
113007164	fermt3	fermitin family member 3%2C transcript variant X2
113009679	trnaw-cca	tRNA-Trp
113009685	trnaw-cca	tRNA-Trp
113009692	trnaw-cca	tRNA-Trp
113009701	trnaw-cca	tRNA-Trp
113007229	trpt1	tRNA phosphotransferase 1
113007155	zbtb3	zinc finger and BTB domain containing 3%2C transcript variant X1
113007245	rnaseh2c	ribonuclease H2 subunit C
113007294	LOC113007294	seipin-like
113007288	LOC113007288	inositol-trisphosphate 3-kinase A-like%2C transcript variant X2
113007261	nxf1	nuclear RNA export factor 1%2C transcript variant X1
113007303	atg2a	autophagy related 2A
113029568	trmt112	tRNA methyltransferase subunit 11-2
113007307	LOC113007307	transforming growth factor beta-2-like
113007324	LOC113007324	potassium channel subfamily K member 4-like%2C transcript variant X1
113007315	LOC113007315	centromere protein F-like%2C transcript variant X2
113007340	LOC113007340	protein RD3-like
113007348	stx5	syntaxin 5%2C transcript variant X2
113007372	vegfb	vascular endothelial growth factor B%2C transcript variant X2
113007385	dnajc4	DnaJ heat shock protein family (Hsp40) member C4%2C transcript variant X1
113007397	nudt22	nudix hydrolase 22
113007394	LOC113007394	heterogeneous nuclear ribonucleoprotein U-like protein 2
113007402	LOC113007402	transmembrane protein 179-like
113009654	trnaf-gaa	tRNA-Phe
113009703	trnaf-gaa	tRNA-Phe
113009712	trnaf-gaa	tRNA-Phe
113007409	LOC113007409	heparan-sulfate 6-O-sulfotransferase 2-like%2C transcript variant X2
113007419	LOC113007419	muscleblind-like protein 3%2C transcript variant X4
113007449	LOC113007449	ras-related protein Rap-2c
113007452	alg13	ALG13%2C UDP-N-acetylglucosaminyltransferase subunit
113007459	LOC113007459	sestrin-3-like
113007461	foxo4	forkhead box O4%2C transcript variant X1
113007471	LOC113007471	ubiquitin-like protein 3
113007478	LOC113007478	serine protease 23-like%2C transcript variant X2
113007487	cfl1	cofilin 1
113007499	LOC113007499	uncharacterized LOC113007499
113007493	LOC113007493	atlastin-3-like
113029575	LOC113029575	forkhead box protein N2-like%2C transcript variant X2
113007504	yif1a	Yip1 interacting factor homolog A%2C membrane trafficking protein%2C transcript variant X2
113007524	fosl1	FOS like 1%2C AP-1 transcription factor subunit%2C transcript variant X2
113007531	ccdc85b	coiled-coil domain containing 85B
113007519	fibp	FGF1 intracellular binding protein
113007540	efemp2	EGF containing fibulin extracellular matrix protein 2
113009716	trnak-cuu	tRNA-Lys
113007547	npas4	neuronal PAS domain protein 4%2C transcript variant X3
113007565	mrpl11	mitochondrial ribosomal protein L11
113007560	LOC113007560	transmembrane protein 121-like%2C transcript variant X1
113007573	LOC113007573	uncharacterized LOC113007573%2C transcript variant X1
113007598	LOC113007598	ADP/ATP translocase 3
113007588	slc25a43	solute carrier family 25 member 43
113007607	LOC113007607	ligand of Numb protein X 2-like%2C transcript variant X1
113007626	LOC113007626	cysteine-rich hydrophobic domain-containing protein 1-like
113029582	cdx4	caudal type homeobox 4
113007635	LOC113007635	vascular endothelial growth factor receptor kdr-like
113007733	LOC113007733	uncharacterized LOC113007733
113007713	tex11	testis expressed 11%2C transcript variant X2
113007641	dlg3	discs large MAGUK scaffold protein 3%2C transcript variant X14
113007736	LOC113007736	glycerophosphoinositol inositolphosphodiesterase GDPD2-like%2C transcript variant X1
113007760	pdzd11	PDZ domain containing 11%2C transcript variant X1
113007752	LOC113007752	START domain-containing protein 10-like
113007782	LOC113007782	ras-related protein Rab-6A-like%2C transcript variant X4
113007824	LOC113007824	arrestin-C-like%2C transcript variant X1
113007809	LOC113007809	phosphatidylinositol 3%2C4%2C5-trisphosphate 5-phosphatase 2B-like%2C transcript variant X2
113007838	p2ry4	pyrimidinergic receptor P2Y4%2C transcript variant X1
113007853	LOC113007853	uncharacterized LOC113007853
113007841	LOC113007841	transcription factor Sox-3%2C transcript variant X2
113007858	atp11c	ATPase phospholipid transporting 11C%2C transcript variant X7
113007905	LOC113007905	coagulation factor IX-like
113007923	LOC113007923	fibroblast growth factor 13%2C transcript variant X1
113007912	LOC113007912	uncharacterized LOC113007912%2C transcript variant X2
113007947	LOC113007947	zinc finger protein ZIC 4-like
113007952	zic3	Zic family member 3
113007971	LOC113007971	uncharacterized LOC113007971
113007992	gpr101	G protein-coupled receptor 101
113007977	tm9sf2	transmembrane 9 superfamily member 2%2C transcript variant X2
113008018	rbmx	RNA binding motif protein X-linked%2C transcript variant X1
113008001	arhgef6	Rac/Cdc42 guanine nucleotide exchange factor 6%2C transcript variant X1
113008036	LOC113008036	tumor necrosis factor ligand superfamily member 6-like
113008030	LOC113008030	pinopsin-like
113029595	LOC113029595	adhesion G-protein coupled receptor G4-like%2C transcript variant X2
113029745	LOC113029745	tumor necrosis factor receptor superfamily member 19-like
113008042	LOC113008042	ensconsin-like%2C transcript variant X1
113008103	fhl1	four and a half LIM domains 1%2C transcript variant X3
113008094	slc9a6	solute carrier family 9 member A6
113008118	taf7l	TATA-box binding protein associated factor 7 like
113008155	LOC113008155	uncharacterized LOC113008155%2C transcript variant X1
113008127	drp2	dystrophin related protein 2%2C transcript variant X5
113008165	cenpi	centromere protein I%2C transcript variant X2
113029609	tmem35a	transmembrane protein 35A
113008260	arl13a	ADP ribosylation factor like GTPase 13A%2C transcript variant X2
113008252	xkrx	XK related X-linked
113008223	nox1	NADPH oxidase 1
113008231	cstf2	cleavage stimulation factor subunit 2%2C transcript variant X3
113008170	bcorl1	BCL6 corepressor like 1%2C transcript variant X9
113009722	trnav-uac	tRNA-Val
113008272	LOC113008272	mid1-interacting protein 1-like
113008282	tspan6	tetraspanin 6%2C transcript variant X2
113008304	srpx2	sushi repeat containing protein X-linked 2%2C transcript variant X1
113008288	sytl4	synaptotagmin like 4%2C transcript variant X1
113028403	trmt12	tRNA methyltransferase 12 homolog
113008315	zdhhc9	zinc finger DHHC-type containing 9%2C transcript variant X2
113008329	sash3	SAM and SH3 domain containing 3
113008337	xpnpep2	X-prolyl aminopeptidase 2%2C transcript variant X2
113008352	apln	apelin
113008388	LOC113008388	peripherin-like
113008361	ocrl	OCRL%2C inositol polyphosphate-5-phosphatase%2C transcript variant X1
113008374	LOC113008374	protein eva-1 homolog C-like%2C transcript variant X2
113008398	LOC113008398	chloride intracellular channel protein 2-like
113008416	c1galt1c1	C1GALT1 specific chaperone 1
113008423	mcts1	MCTS1%2C re-initiation and release factor
113008429	cul4b	cullin 4B
113008432	lamp2	lysosomal associated membrane protein 2%2C transcript variant X2
113008445	atp1b4	ATPase Na+/K+ transporting family member beta 4%2C transcript variant X1
113008469	tmem255a	transmembrane protein 255A%2C transcript variant X2
113008454	zbtb33	zinc finger and BTB domain containing 33%2C transcript variant X1
113029616	nkap	NFKB activating protein
113008491	ndufa1	NADH:ubiquinone oxidoreductase subunit A1
113008484	upf3b	UPF3B%2C regulator of nonsense mediated mRNA decay
113008538	rpl39	ribosomal protein L39
113009628	LOC113009628	small nucleolar RNA SNORA69
113008522	sowahd	sosondowah ankyrin repeat domain family member D
113008530	pttg1	pituitary tumor-transforming 1
113008500	sept6	septin 6%2C transcript variant X1
113008551	nkrf	NFKB repressing factor
113008567	ube2a	ubiquitin conjugating enzyme E2 A
113009658	trnae-uuc	tRNA-Glu
113008570	LOC113008570	ETS-related transcription factor Elf-1-like%2C transcript variant X3
113008594	tnmd	tenomodulin%2C transcript variant X4
113008610	pcdh19	protocadherin 19%2C transcript variant X5
113008627	diaph2	diaphanous related formin 2%2C transcript variant X1
113008645	LOC113008645	glycine receptor subunit alpha-4-like%2C transcript variant X3
113008659	gla	galactosidase alpha
113008664	LOC113008664	60S ribosomal protein L36a
113008674	btk	Bruton tyrosine kinase%2C transcript variant X1
113008699	timm8a	translocase of inner mitochondrial membrane 8A
113008690	LOC113008690	magnesium transporter NIPA2-like
113008731	mars2	methionyl-tRNA synthetase 2%2C mitochondrial
113008704	med12	mediator complex subunit 12%2C transcript variant X6
113008737	LOC113008737	multidrug resistance-associated protein 5-like
113008739	enox2	ecto-NOX disulfide-thiol exchanger 2%2C transcript variant X6
113029626	LOC113029626	E3 ubiquitin-protein ligase TRIM68-like%2C transcript variant X2
113029642	LOC113029642	uncharacterized LOC113029642
113029644	LOC113029644	uncharacterized LOC113029644
113029647	LOC113029647	putative nuclease HARBI1
113008765	LOC113008765	sodium bicarbonate transporter-like protein 11%2C transcript variant X2
113008776	LOC113008776	GDNF family receptor alpha-4-like%2C transcript variant X2
113008783	LOC113008783	SET and MYND domain-containing protein 5-like
113008788	LOC113008788	sideroflexin-5-like%2C transcript variant X1
113008795	LOC113008795	rab11 family-interacting protein 5-like%2C transcript variant X2
113008843	bend4	BEN domain containing 4%2C transcript variant X4
113008868	shisa3	shisa family member 3%2C transcript variant X2
113008801	atp8a1	ATPase phospholipid transporting 8A1%2C transcript variant X4
113008864	grxcr1	glutaredoxin and cysteine rich domain containing 1
113008831	slc30a9	solute carrier family 30 member 9
113008881	gsr	glutathione-disulfide reductase%2C transcript variant X3
113008878	LOC113008878	uncharacterized LOC113008878
113008908	LOC113008908	uncharacterized LOC113008908
113008902	LOC113008902	cephalotoxin-like protein
113008916	clnk	cytokine dependent hematopoietic cell linker%2C transcript variant X2
113029656	hs3st1	heparan sulfate-glucosamine 3-sulfotransferase 1
113008927	rab28	RAB28%2C member RAS oncogene family%2C transcript variant X4
113029667	nkx3-2	NK3 homeobox 2%2C transcript variant X1
113008941	LOC113008941	muscle M-line assembly protein unc-89-like
113028418	bod1l1	biorientation of chromosomes in cell division 1 like 1
113009728	trnal-aag	tRNA-Leu
113008948	LOC113008948	aurora kinase B-like
113008959	fbxl12	F-box and leucine rich repeat protein 12
113008975	cops6	COP9 signalosome subunit 6
113008966	LOC113008966	leucine-rich repeat extensin-like protein 3
113008981	mcm7	minichromosome maintenance complex component 7%2C transcript variant X2
113008996	stag3	stromal antigen 3%2C transcript variant X2
113009047	gpc2	glypican 2
113009051	LOC113009051	integrin alpha-6-like%2C transcript variant X1
113009067	LOC113009067	uncharacterized LOC113009067
113029683	LOC113029683	uncharacterized LOC113029683%2C transcript variant X1
113028426	LOC113028426	uncharacterized LOC113028426
113009078	LOC113009078	uncharacterized LOC113009078
113029695	LOC113029695	uncharacterized LOC113029695
113028433	LOC113028433	G2/M phase-specific E3 ubiquitin-protein ligase-like
113028440	LOC113028440	uncharacterized LOC113028440
113029699	LOC113029699	uncharacterized LOC113029699
113029705	LOC113029705	uncharacterized LOC113029705
113029712	LOC113029712	lactose-binding lectin l-2-like
113009082	LOC113009082	ladderlectin-like%2C transcript variant X1
113028446	LOC113028446	butyrophilin subfamily 2 member A1-like
113028452	LOC113028452	butyrophilin subfamily 3 member A2-like
113009120	LOC113009120	uncharacterized LOC113009120
113009091	LOC113009091	trichohyalin-like
113009107	LOC113009107	uncharacterized LOC113009107%2C transcript variant X1
113009096	LOC113009096	fibrinogen- and Ig-binding protein-like%2C transcript variant X1
113009114	LOC113009114	uncharacterized LOC113009114
113028456	LOC113028456	butyrophilin subfamily 3 member A2-like
113028465	LOC113028465	butyrophilin-like protein 1
113009123	LOC113009123	uncharacterized LOC113009123%2C transcript variant X1
113029731	LOC113029731	type-2 ice-structuring protein-like
113009136	LOC113009136	type-2 ice-structuring protein-like
113009163	LOC113009163	lactose-binding lectin l-2-like
113028471	LOC113028471	uncharacterized LOC113028471
113009140	LOC113009140	ladderlectin-like
113028474	LOC113028474	uncharacterized LOC113028474
113028482	LOC113028482	uncharacterized LOC113028482
113009146	LOC113009146	ladderlectin-like
113009171	LOC113009171	uncharacterized LOC113009171
113009154	LOC113009154	ladderlectin-like%2C transcript variant X1
113015708	LOC113015708	kinesin-like protein KIF2C%2C transcript variant X2
113019820	LOC113019820	5S ribosomal RNA
113015715	pced1a	PC-esterase domain containing 1A%2C transcript variant X2
113015729	afap1	actin filament associated protein 1%2C transcript variant X3
113015744	ablim2	actin binding LIM protein family member 2%2C transcript variant X1
113015790	zcchc4	zinc finger CCHC-type containing 4
113015796	LOC113015796	nuclear factor 7%2C ovary-like%2C transcript variant X3
113015809	pde5a	phosphodiesterase 5A%2C transcript variant X3
113015817	LOC113015817	mitotic spindle assembly checkpoint protein MAD2A-like
113015824	LOC113015824	uncharacterized LOC113015824%2C transcript variant X4
113016239	LOC113016239	gastrula zinc finger protein XlCGF49.1-like
113016216	LOC113016216	mitotic spindle assembly checkpoint protein MAD2A-like
113015992	arsj	arylsulfatase family member J
113015911	LOC113015911	disintegrin and metalloproteinase domain-containing protein 19-like%2C transcript variant X2
113016402	LOC113016402	uncharacterized LOC113016402
113016432	LOC113016432	uncharacterized LOC113016432
113016381	LOC113016381	uncharacterized LOC113016381%2C transcript variant X1
113019817	LOC113019817	5S ribosomal RNA
113019785	LOC113019785	5S ribosomal RNA
113019794	LOC113019794	5S ribosomal RNA
113019806	LOC113019806	5S ribosomal RNA
113019786	LOC113019786	5S ribosomal RNA
113016246	rwdd4	RWD domain containing 4
113016189	ing2	inhibitor of growth family member 2
113011361	LOC113011361	macrosialin-like
113016178	LOC113016178	structure-specific endonuclease subunit slx1-like%2C transcript variant X1
113016350	LOC113016350	bolA-like protein 2%2C transcript variant X1
113011367	LOC113011367	protein c-ets-1-B-like
113015939	LOC113015939	glycogen phosphorylase%2C muscle form-like
113015955	sf1	splicing factor 1%2C transcript variant X1
113016067	LOC113016067	RNA-binding protein 4.1-like%2C transcript variant X4
113015897	LOC113015897	NACHT%2C LRR and PYD domains-containing protein 12-like
113015885	LOC113015885	NACHT%2C LRR and PYD domains-containing protein 3-like%2C transcript variant X1
113016285	LOC113016285	phospholipase D1-like%2C transcript variant X4
113016438	LOC113016438	uncharacterized LOC113016438
113016441	LOC113016441	uncharacterized LOC113016441
113016386	LOC113016386	uncharacterized LOC113016386
113016195	LOC113016195	zinc finger BED domain-containing protein 1-like
113015930	aco1	aconitase 1
113016123	LOC113016123	membrane progesterone receptor epsilon-like
113016222	LOC113016222	leucine-rich repeat-containing protein 72-like
113015837	frem1	FRAS1 related extracellular matrix 1
113016152	LOC113016152	tetraspanin-5-like%2C transcript variant X2
113015977	rap1gds1	Rap1 GTPase-GDP dissociation stimulator 1%2C transcript variant X1
113016028	slc1a1	solute carrier family 1 member 1
113016143	trmt10a	tRNA methyltransferase 10A
113015860	LOC113015860	uncharacterized protein C4orf54-like
113016213	hacd4	3-hydroxyacyl-CoA dehydratase 4
113015846	focad	focadhesin%2C transcript variant X1
113016392	LOC113016392	uncharacterized LOC113016392
113016359	LOC113016359	focadhesin-like
113016331	LOC113016331	protein AF-9-like
113016051	LOC113016051	protein AF-9-like%2C transcript variant X1
113019834	trnai-aau	tRNA-Ile
113019835	trnai-aau	tRNA-Ile
113019836	trnai-aau	tRNA-Ile
113016398	LOC113016398	uncharacterized LOC113016398
113019837	trnai-aau	tRNA-Ile
113019838	trnaf-aaa	tRNA-Phe
113019840	trnai-aau	tRNA-Ile
113019841	trnai-aau	tRNA-Ile
113019842	trnar-ucg	tRNA-Arg
113019844	trnai-aau	tRNA-Ile
113016422	LOC113016422	uncharacterized LOC113016422%2C transcript variant X2
113016033	LOC113016033	uncharacterized LOC113016033
113016408	LOC113016408	uncharacterized LOC113016408
113016421	LOC113016421	uncharacterized LOC113016421
113016304	LOC113016304	focadhesin-like
113016312	LOC113016312	protein AF-9-like
113016199	LOC113016199	uncharacterized LOC113016199
113011370	LOC113011370	uncharacterized LOC113011370
113011376	LOC113011376	uncharacterized LOC113011376
113015878	LOC113015878	NLR family CARD domain-containing protein 3-like
113015999	LOC113015999	E3 ubiquitin-protein ligase TRIM21-like
113011382	LOC113011382	uncharacterized LOC113011382
113016008	LOC113016008	E3 ubiquitin-protein ligase TRIM21-like
113011390	LOC113011390	uncharacterized LOC113011390
113016018	LOC113016018	E3 ubiquitin-protein ligase TRIM21-like
113016161	LOC113016161	uncharacterized LOC113016161
113016414	LOC113016414	uncharacterized LOC113016414
113011392	LOC113011392	uncharacterized LOC113011392
113016379	LOC113016379	uncharacterized LOC113016379
113016376	LOC113016376	uncharacterized LOC113016376
113016117	LOC113016117	interferon-inducible GTPase 5-like
113015903	LOC113015903	ephrin type-B receptor 4-like
113016206	LOC113016206	proteasome subunit beta type-6-like
113016321	trappc1	trafficking protein particle complex 1%2C transcript variant X2
113016061	LOC113016061	voltage-gated potassium channel subunit beta-3-like%2C transcript variant X1
113016104	LOC113016104	uncharacterized LOC113016104
113016131	LOC113016131	putative C-type lectin domain family 20 member A%2C transcript variant X1
113011404	LOC113011404	butyrophilin-like protein 2
113011414	LOC113011414	uncharacterized LOC113011414
113016279	LOC113016279	myelin-oligodendrocyte glycoprotein-like%2C transcript variant X2
113016090	LOC113016090	butyrophilin-like protein 2%2C transcript variant X1
113016037	LOC113016037	butyrophilin-like protein 2%2C transcript variant X2
113016368	LOC113016368	uncharacterized LOC113016368%2C transcript variant X2
113016111	LOC113016111	butyrophilin-like protein 2
113016170	LOC113016170	matrix remodeling-associated protein 8-like
113015966	LOC113015966	uncharacterized LOC113015966
113011420	LOC113011420	uncharacterized LOC113011420
113011633	LOC113011633	methylglutaconyl-CoA hydratase%2C mitochondrial-like%2C transcript variant X2
113011643	LOC113011643	C-X-C chemokine receptor type 2-like
113016447	LOC113016447	uncharacterized LOC113016447
113011428	LOC113011428	elongation of very long chain fatty acids protein 4-like
113011435	LOC113011435	CST complex subunit CTC1-like
113011649	LOC113011649	GTPase IMAP family member 8-like
113011466	LOC113011466	uncharacterized LOC113011466
113016792	LOC113016792	uncharacterized LOC113016792
113016810	LOC113016810	uncharacterized LOC113016810
113016832	LOC113016832	uncharacterized LOC113016832
113011482	LOC113011482	uncharacterized LOC113011482
113016803	LOC113016803	uncharacterized LOC113016803
113011498	LOC113011498	cadherin-1-like
113016797	LOC113016797	uncharacterized LOC113016797%2C transcript variant X1
113016828	LOC113016828	uncharacterized LOC113016828
113016821	LOC113016821	uncharacterized LOC113016821
113016765	LOC113016765	high choriolytic enzyme 1-like%2C transcript variant X2
113016760	LOC113016760	high choriolytic enzyme 1-like
113016748	LOC113016748	high choriolytic enzyme 1-like%2C transcript variant X2
113016663	LOC113016663	calcium/calmodulin-dependent protein kinase type II delta 1 chain%2C transcript variant X2
113016456	ank2	ankyrin 2%2C transcript variant X30
113016658	LOC113016658	piggyBac transposable element-derived protein 4-like
113016815	LOC113016815	uncharacterized LOC113016815
113011665	LOC113011665	uncharacterized LOC113011665
113016845	LOC113016845	uncharacterized LOC113016845%2C transcript variant X2
113011679	LOC113011679	uncharacterized LOC113011679
113011683	LOC113011683	uncharacterized LOC113011683
113011530	LOC113011530	NXPE family member 3-like
113011538	LOC113011538	uncharacterized LOC113011538
113011693	LOC113011693	uncharacterized LOC113011693
113016862	LOC113016862	uncharacterized LOC113016862%2C transcript variant X1
113013175	LOC113013175	uncharacterized LOC113013175
113016877	LOC113016877	G2/M phase-specific E3 ubiquitin-protein ligase-like
113016886	LOC113016886	transcription factor 7-like%2C transcript variant X2
113011719	LOC113011719	uncharacterized LOC113011719
113011725	LOC113011725	uncharacterized LOC113011725
113011545	LOC113011545	TRAF-interacting protein with FHA domain-containing protein A-like
113016904	LOC113016904	RNA-binding protein 4B-like
113011729	LOC113011729	TRAF-interacting protein with FHA domain-containing protein A-like
113016909	LOC113016909	RNA-binding protein 4B-like
113016914	LOC113016914	fragile X mental retardation syndrome-related protein 1-like%2C transcript variant X2
113011736	haus4	HAUS augmin like complex subunit 4
113016927	LOC113016927	dedicator of cytokinesis protein 11-like%2C transcript variant X1
113016941	LOC113016941	interleukin-13 receptor subunit alpha-1-like
113016946	LOC113016946	collagen alpha-1(XII) chain-like%2C transcript variant X1
113019821	trnar-ucu	tRNA-Arg
113011749	LOC113011749	uncharacterized LOC113011749
113011755	LOC113011755	uncharacterized LOC113011755
113016962	LOC113016962	kin of IRRE-like protein 1%2C transcript variant X1
113016984	ndufs2	NADH:ubiquinone oxidoreductase core subunit S2
113017022	fcer1g	Fc fragment of IgE receptor Ig
113016974	LOC113016974	nectin-4-like
113016992	otub1	OTU deubiquitinase%2C ubiquitin aldehyde binding 1
113017010	cskmt	citrate synthase lysine methyltransferase
113017017	LOC113017017	ependymin-like
113017000	LOC113017000	ependymin-like
113016956	alpk1	alpha kinase 1
113017037	rasgrp2	RAS guanyl releasing protein 2%2C transcript variant X3
113017073	LOC113017073	uncharacterized LOC113017073
113017084	LOC113017084	uncharacterized protein K02A2.6-like
113017100	LOC113017100	neurexin-2-like%2C transcript variant X6
113017176	LOC113017176	zinc finger BED domain-containing protein 1-like
113017189	LOC113017189	uncharacterized LOC113017189%2C transcript variant X3
113017208	LOC113017208	mitogen-activated protein kinase kinase kinase 11-like%2C transcript variant X2
113017220	LOC113017220	uncharacterized LOC113017220
113017262	drap1	DR1 associated protein 1
113017246	c3h11orf68	chromosome 3 C11orf68 homolog%2C transcript variant X3
113017227	LOC113017227	putative transcription factor p65 homolog
113017236	LOC113017236	serine/threonine-protein phosphatase PP1-beta catalytic subunit
113017268	LOC113017268	equilibrative nucleoside transporter 2-like
113011785	LOC113011785	protein S100-G-like
113011775	LOC113011775	protein S100-P-like
113017277	LOC113017277	uncharacterized LOC113017277
113011556	LOC113011556	girdin-like
113017284	LOC113017284	uncharacterized LOC113017284
113017289	kiaa0232	KIAA0232 ortholog
113017297	tbc1d14	TBC1 domain family member 14%2C transcript variant X3
113017336	LOC113017336	C-C motif chemokine 3-like
113017367	LOC113017367	eotaxin-like
113011561	LOC113011561	uncharacterized LOC113011561
113017347	LOC113017347	putative nuclease HARBI1
113017357	LOC113017357	eotaxin-like
113011568	LOC113011568	uncharacterized LOC113011568
113011574	LOC113011574	uncharacterized LOC113011574
113017375	LOC113017375	uncharacterized LOC113017375
113017391	ccdc96	coiled-coil domain containing 96%2C transcript variant X2
113017381	tada2b	transcriptional adaptor 2B
113017408	grpel1	GrpE like 1%2C mitochondrial
113017417	sorcs2	sortilin related VPS10 domain containing receptor 2%2C transcript variant X2
113017459	LOC113017459	histone H2A.Z%2C transcript variant X1
113017473	lrch4	leucine rich repeats and calponin homology domain containing 4%2C transcript variant X2
113017487	LOC113017487	sentrin-specific protease 3-like
113017497	LOC113017497	eukaryotic initiation factor 4A-I
113019819	LOC113019819	small nucleolar RNA SNORD10
113017509	LOC113017509	transcription factor Sox-19b-like
113017519	mpdu1	mannose-P-dolichol utilization defect 1
113011800	mblac1	metallo-beta-lactamase domain containing 1
113011804	LOC113011804	lysophosphatidic acid receptor 6-like
113017525	LOC113017525	galactose-3-O-sulfotransferase 2-like%2C transcript variant X2
113017546	LOC113017546	uncharacterized protein C7orf43 homolog%2C transcript variant X2
113011585	LOC113011585	zonadhesin-like
113019891	trnas-uga	tRNA-Ser
